"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"63762732","2025-01-15T00:44:00.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","11203","87 EAST   53 STREET","EAST   53 STREET","WINTHROP STREET","CLARKSON AVENUE","WINTHROP STREET","CLARKSON AVENUE","ADDRESS","BROOKLYN","EAST   53 STREET",,"In Progress",,,"2025-01-15T02:02:33.000","17 BROOKLYN","3046230060","BROOKLYN","1004196","179012","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.65800082350399","-73.92811098846161","
,  
(40.65800082350399, -73.92811098846161)"
"63762882","2025-01-15T00:43:43.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10455","550 CAULDWELL AVENUE","CAULDWELL AVENUE","EAST  149 STREET","WESTCHESTER AVENUE","EAST  149 STREET","WESTCHESTER AVENUE","ADDRESS","BRONX","CAULDWELL AVENUE",,"In Progress",,,"2025-01-15T00:57:02.000","01 BRONX","2026230135","BRONX","1008953","235898","MOBILE","Unspecified","BRONX",,,,,,,,"40.81412672541635","-73.9107570266164","
,  
(40.81412672541635, -73.9107570266164)"
"63768101","2025-01-15T00:42:55.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","11238","857 ATLANTIC AVENUE","ATLANTIC AVENUE","WAVERLY AVENUE","UNDERHILL AVENUE","WAVERLY AVENUE","UNDERHILL AVENUE","ADDRESS","BROOKLYN","ATLANTIC AVENUE",,"In Progress",,,"2025-01-15T01:23:48.000","02 BROOKLYN","3020120067","BROOKLYN","993939","187480","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.68126075407367","-73.96506690466629","
,  
(40.68126075407367, -73.96506690466629)"
"63762129","2025-01-15T00:41:58.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11221","100 PALMETTO STREET","PALMETTO STREET","EVERGREEN AVENUE","CENTRAL AVENUE","EVERGREEN AVENUE","CENTRAL AVENUE","ADDRESS","BROOKLYN","PALMETTO STREET",,"In Progress",,,"2025-01-15T01:37:48.000","04 BROOKLYN","3033500006","BROOKLYN","1006846","191364","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.691897901913755","-73.91851850100282","
,  
(40.691897901913755, -73.91851850100282)"
"63766943","2025-01-15T00:39:04.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Television","Residential Building/House","10472","1690 WATSON AVENUE","WATSON AVENUE","FTELEY AVENUE","CROES AVENUE","FTELEY AVENUE","CROES AVENUE","ADDRESS","BRONX","WATSON AVENUE",,"In Progress",,,"2025-01-15T00:51:52.000","09 BRONX","2037230001","BRONX","1020111","240647","MOBILE","Unspecified","BRONX",,,,,,,,"40.82712312845304","-73.87042189331824","
,  
(40.82712312845304, -73.87042189331824)"
"63765635","2025-01-15T00:38:38.000",,"NYPD","New York City Police Department","Encampment","N/A","Street/Sidewalk","10169","230 PARK AVENUE","PARK AVENUE","EAST   45 STREET","EAST   46 STREET","EAST   45 STREET","EAST   46 STREET","ADDRESS","NEW YORK","PARK AVENUE",,"In Progress",,,,"05 MANHATTAN","1013000001","MANHATTAN","990913","214165","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.75450745921105","-73.97595054706579","
,  
(40.75450745921105, -73.97595054706579)"
"63769542","2025-01-15T00:38:31.000",,"NYPD","New York City Police Department","Drug Activity","Use Outside","Street/Sidewalk","11366","158-33 78 AVENUE","78 AVENUE","PARSONS BOULEVARD","160 STREET","PARSONS BOULEVARD","160 STREET","ADDRESS","FRESH MEADOWS","78 AVENUE",,"In Progress",,,,"08 QUEENS","4068280015","QUEENS","1037047","202519","ONLINE","Unspecified","QUEENS",,,,,,,,"40.72238703289527","-73.8095260418184","
,  
(40.72238703289527, -73.8095260418184)"
"63768058","2025-01-15T00:38:28.000",,"NYPD","New York City Police Department","Traffic","Chronic Speeding","Street/Sidewalk","11366","158-33 78 AVENUE","78 AVENUE","PARSONS BOULEVARD","160 STREET","PARSONS BOULEVARD","160 STREET","ADDRESS","FRESH MEADOWS","78 AVENUE",,"In Progress",,,,"08 QUEENS","4068280015","QUEENS","1037047","202519","ONLINE","Unspecified","QUEENS",,,,,,,,"40.72238703289527","-73.8095260418184","
,  
(40.72238703289527, -73.8095260418184)"
"63761394","2025-01-15T00:38:09.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","10467","3039 WALLACE AVENUE","WALLACE AVENUE","ADEE AVENUE","BURKE AVENUE","ADEE AVENUE","BURKE AVENUE","ADDRESS","BRONX","WALLACE AVENUE",,"In Progress",,,"2025-01-15T02:40:43.000","12 BRONX","2045700032","BRONX","1021776","256326","PHONE","Unspecified","BRONX",,,,,,,,"40.870150385022505","-73.86431793354161","
,  
(40.870150385022505, -73.86431793354161)"
"63764826","2025-01-15T00:38:00.000",,"DOT","Department of Transportation","Street Light Condition","Fixture/Luminaire Missing",,"11238","540 WAVERLY AVENUE","WAVERLY AVENUE","ATLANTIC AVE","FULTON ST",,,"ADDRESS","BROOKLYN",,,"Open",,,,"02 BROOKLYN","3020110060","BROOKLYN","993780","187748","UNKNOWN","Unspecified","BROOKLYN",,,,,,,,"40.68199652570155","-73.96563979033985","
,  
(40.68199652570155, -73.96563979033985)"
"63764051","2025-01-15T00:37:39.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10466","4064 BRONX BOULEVARD","BRONX BOULEVARD","EAST  228 STREET","EAST  229 STREET","EAST  228 STREET","EAST  229 STREET","ADDRESS","BRONX","BRONX BOULEVARD",,"In Progress",,,"2025-01-15T02:06:16.000","12 BRONX","2048220013","BRONX","1022150","264035","PHONE","Unspecified","BRONX",,,,,,,,"40.8913075690776","-73.86292205289855","
,  
(40.8913075690776, -73.86292205289855)"
"63761652","2025-01-15T00:36:50.000","2025-01-15T00:42:02.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11221","150 MALCOLM X BOULEVARD","MALCOLM X BOULEVARD","GATES AVENUE","MONROE STREET","GATES AVENUE","MONROE STREET","ADDRESS","BROOKLYN","MALCOLM X BOULEVARD",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2025-01-15T00:42:07.000","03 BROOKLYN","3016360024","BROOKLYN","1003623","190063","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.688334599490894","-73.93014442097454","
,  
(40.688334599490894, -73.93014442097454)"
"63768834","2025-01-15T00:36:33.000",,"NYPD","New York City Police Department","Animal-Abuse","Other (complaint details)","Residential Building/House","11106","31-35 CRESCENT STREET","CRESCENT STREET","31 ROAD","31 DRIVE","31 ROAD","31 DRIVE","ADDRESS","ASTORIA","CRESCENT STREET",,"In Progress",,,"2025-01-15T02:28:25.000","01 QUEENS","4005790036","QUEENS","1004421","217880","ONLINE","Unspecified","QUEENS",,,,,,,,"40.76468368198577","-73.92718359841146","
,  
(40.76468368198577, -73.92718359841146)"
"63761741","2025-01-15T00:36:24.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Crosswalk","Street/Sidewalk","11105","20-44 35 STREET","35 STREET","20 ROAD","21 AVENUE","20 ROAD","21 AVENUE","ADDRESS","ASTORIA","35 STREET",,"In Progress",,,"2025-01-15T01:27:16.000","01 QUEENS","4008280001","QUEENS","1010349","222539","MOBILE","Unspecified","QUEENS",,,,,,,,"40.777455901683325","-73.90576570691677","
,  
(40.777455901683325, -73.90576570691677)"
"63762664","2025-01-15T00:36:12.000",,"DSNY","Department of Sanitation","Dirty Condition","Trash","Sidewalk","10472","1690 WATSON AVENUE","WATSON AVENUE","FTELEY AVENUE","CROES AVENUE","FTELEY AVENUE","CROES AVENUE","ADDRESS","BRONX","WATSON AVENUE",,"In Progress",,,,"09 BRONX","2037230001","BRONX","1020111","240647","MOBILE","Unspecified","BRONX",,,,,,,,"40.82712312845304","-73.87042189331824","
,  
(40.82712312845304, -73.87042189331824)"
"63760181","2025-01-15T00:36:00.000",,"NYPD","New York City Police Department","Noise - Commercial","Banging/Pounding","Store/Commercial","10021","1005 LEXINGTON AVENUE","LEXINGTON AVENUE","EAST   72 STREET","EAST   73 STREET","EAST   72 STREET","EAST   73 STREET","ADDRESS","NEW YORK","LEXINGTON AVENUE",,"In Progress",,,"2025-01-15T01:34:48.000","08 MANHATTAN","1014070020","MANHATTAN","994765","220044","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.77064005799672","-73.96203793171433","
,  
(40.77064005799672, -73.96203793171433)"
"63767067","2025-01-15T00:35:55.000",,"NYPD","New York City Police Department","Encampment","N/A","Park/Playground","10002","71 HENRY STREET","HENRY STREET","MANHATTAN BRIDGE LINE","MANHATTAN BRIDGE","MANHATTAN BRIDGE LINE","MANHATTAN BRIDGE","ADDRESS","NEW YORK","HENRY STREET",,"In Progress",,,"2025-01-15T00:53:17.000","03 MANHATTAN",,"MANHATTAN","985919","199068","MOBILE","N/A","MANHATTAN",,,,,,,,"40.71307226273342","-73.99397965111204","
,  
(40.71307226273342, -73.99397965111204)"
"63768160","2025-01-15T00:35:54.000",,"NYPD","New York City Police Department","Illegal Parking","Double Parked Blocking Traffic","Street/Sidewalk","10466","3655 VARIAN AVENUE","VARIAN AVENUE","HARPER COURT","CONNER STREET","HARPER COURT","CONNER STREET","ADDRESS","BRONX","VARIAN AVENUE",,"In Progress",,,"2025-01-15T02:41:23.000","12 BRONX","2049410051","BRONX","1030056","262213","MOBILE","Unspecified","BRONX","Car",,,,,,,"40.88626926350679","-73.83433990088295","
,  
(40.88626926350679, -73.83433990088295)"
"63769429","2025-01-15T00:35:41.000",,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","Club/Bar/Restaurant","10021","1452 2 AVENUE","2 AVENUE","EAST   75 STREET","EAST   76 STREET","EAST   75 STREET","EAST   76 STREET","ADDRESS","NEW YORK","2 AVENUE",,"In Progress",,,"2025-01-15T01:28:38.000","08 MANHATTAN","1014500050","MANHATTAN","996276","220258","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.771225505669456","-73.95658242025652","
,  
(40.771225505669456, -73.95658242025652)"
"63762885","2025-01-15T00:35:22.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Talking","Residential Building/House","11214","2076 CROPSEY AVENUE","CROPSEY AVENUE","BAY   26 STREET","21 AVENUE","BAY   26 STREET","21 AVENUE","ADDRESS","BROOKLYN","CROPSEY AVENUE",,"In Progress",,,"2025-01-15T01:44:36.000","11 BROOKLYN","3064690001","BROOKLYN","983952","157506","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.598993845784484","-74.00107309689393","
,  
(40.598993845784484, -74.00107309689393)"
"63768304","2025-01-15T00:35:19.000",,"TLC","Taxi and Limousine Commission","For Hire Vehicle Complaint","Driver Complaint - Non Passenger","Street","10029","172 EAST  108 STREET","EAST  108 STREET","LEXINGTON AVENUE","3 AVENUE","LEXINGTON AVENUE","3 AVENUE","ADDRESS","NEW YORK","EAST  108 STREET",,"In Progress",,,,"11 MANHATTAN","1016350044","MANHATTAN","999620","228262","ONLINE","Unspecified","MANHATTAN",,"MANHATTAN","172 EAST  108 STREET, MANHATTAN (NEW YORK), NY, 10029",,,,,"40.79318917480376","-73.94449123736395","
,  
(40.79318917480376, -73.94449123736395)"
"63766858","2025-01-15T00:34:35.000",,"DPR","Department of Parks and Recreation","Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","Street","11238","554 WASHINGTON AVENUE","WASHINGTON AVENUE","FULTON STREET","ATLANTIC AVENUE","FULTON STREET","ATLANTIC AVENUE","ADDRESS","BROOKLYN","WASHINGTON AVENUE",,"In Progress",,,,"02 BROOKLYN","3020120046","BROOKLYN","994056","187864","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.682314617826755","-73.96464450958749","
,  
(40.682314617826755, -73.96464450958749)"
"63768749","2025-01-15T00:32:59.000",,"NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","10466","3653 VARIAN AVENUE","VARIAN AVENUE","HARPER COURT","CONNER STREET","HARPER COURT","CONNER STREET","ADDRESS","BRONX","VARIAN AVENUE",,"In Progress",,,"2025-01-15T02:41:45.000","12 BRONX","2049410052","BRONX","1030053","262195","MOBILE","Unspecified","BRONX",,,,,,,,"40.8862198748135","-73.8343508736363","
,  
(40.8862198748135, -73.8343508736363)"
"63765452","2025-01-15T00:32:58.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Talking","Residential Building/House","11214","2706 CROPSEY AVENUE","CROPSEY AVENUE","27 AVENUE","BAY   46 STREET","27 AVENUE","BAY   46 STREET","ADDRESS","BROOKLYN","CROPSEY AVENUE",,"In Progress",,,"2025-01-15T01:09:48.000","13 BROOKLYN",,"BROOKLYN","987062","153613","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.58830790200564","-73.98987561874353","
,  
(40.58830790200564, -73.98987561874353)"
"63764096","2025-01-15T00:31:45.000",,"DPR","Department of Parks and Recreation","Root/Sewer/Sidewalk Condition","Trees and Sidewalks Program","Street","11238","570 WASHINGTON AVENUE","WASHINGTON AVENUE","FULTON STREET","ATLANTIC AVENUE","FULTON STREET","ATLANTIC AVENUE","ADDRESS","BROOKLYN","WASHINGTON AVENUE",,"In Progress",,,,"02 BROOKLYN","3020120054","BROOKLYN","994074","187746","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.68199071474131","-73.96457978270415","
,  
(40.68199071474131, -73.96457978270415)"
"63764076","2025-01-15T00:31:36.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10306","145 LINCOLN AVENUE","LINCOLN AVENUE","SOUTH RAILROAD AVENUE","EDISON STREET","SOUTH RAILROAD AVENUE","EDISON STREET","ADDRESS","STATEN ISLAND","LINCOLN AVENUE",,"In Progress",,,"2025-01-15T01:13:26.000","02 STATEN ISLAND","5035857502","STATEN ISLAND","954291","150219","PHONE","Unspecified","STATEN ISLAND",,,,,,,,"40.57894186939161","-74.10784988598992","
,  
(40.57894186939161, -74.10784988598992)"
"63764053","2025-01-15T00:31:22.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11237","184 WYCKOFF AVENUE","WYCKOFF AVENUE","GREENE AVENUE","BLEECKER STREET","GREENE AVENUE","BLEECKER STREET","ADDRESS","BROOKLYN","WYCKOFF AVENUE",,"In Progress",,,"2025-01-15T01:37:23.000","04 BROOKLYN","3033010032","BROOKLYN","1007698","195024","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.70194152965504","-73.91543343731115","
,  
(40.70194152965504, -73.91543343731115)"
"63766855","2025-01-15T00:31:20.000",,"DOHMH","Department of Health and Mental Hygiene","Rodent","Rat Sighting","3+ Family Mixed Use Building","10027","60 WEST  125 STREET","WEST  125 STREET","5 AVENUE","LENOX AVENUE","5 AVENUE","LENOX AVENUE","ADDRESS","NEW YORK","WEST  125 STREET",,"In Progress",,,,"10 MANHATTAN","1017227502","MANHATTAN","999650","233401","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.80729427092877","-73.94437110611076","
,  
(40.80729427092877, -73.94437110611076)"
"63762810","2025-01-15T00:31:09.000",,"NYPD","New York City Police Department","Noise - Vehicle","Engine Idling","Street/Sidewalk","11237","451 HARMAN STREET","HARMAN STREET","WYCKOFF AVENUE","ST NICHOLAS AVENUE","WYCKOFF AVENUE","ST NICHOLAS AVENUE","ADDRESS","BROOKLYN","HARMAN STREET",,"In Progress",,,"2025-01-15T00:59:02.000","04 BROOKLYN","3032810044","BROOKLYN","1007666","195510","MOBILE","Unspecified","BROOKLYN","Car",,,,,,,"40.70327556975873","-73.91554715721445","
,  
(40.70327556975873, -73.91554715721445)"
"63760530","2025-01-15T00:30:48.000",,"NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","10460","1643 GARFIELD STREET","GARFIELD STREET","BAKER AVENUE","MEAD STREET","BAKER AVENUE","MEAD STREET","ADDRESS","BRONX","GARFIELD STREET",,"In Progress",,,"2025-01-15T01:53:08.000","11 BRONX","2040240018","BRONX","1020993","245975","ONLINE","Unspecified","BRONX",,,,,,,,"40.841743309185176","-73.86720574412982","
,  
(40.841743309185176, -73.86720574412982)"
"63762887","2025-01-15T00:30:29.000",,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","Street/Sidewalk","10463","2975 TIBBETT AVENUE","TIBBETT AVENUE","DEAD END","WEST  230 STREET","DEAD END","WEST  230 STREET","ADDRESS","BRONX","TIBBETT AVENUE",,"In Progress",,,"2025-01-15T01:49:06.000","08 BRONX","2057160725","BRONX","1009167","259668","MOBILE","Unspecified","BRONX",,,,,,,,"40.87936774027384","-73.90989559266617","
,  
(40.87936774027384, -73.90989559266617)"
"63770114","2025-01-15T00:30:26.000",,"NYPD","New York City Police Department","Blocked Driveway","No Access","Street/Sidewalk","11104","47-38 39 PLACE","39 PLACE","47 AVENUE","48 AVENUE","47 AVENUE","48 AVENUE","ADDRESS","SUNNYSIDE","39 PLACE",,"In Progress",,,"2025-01-15T01:30:46.000","02 QUEENS","4002000053","QUEENS","1004825","209300","MOBILE","Unspecified","QUEENS",,,,,,,,"40.74113283437784","-73.9257514307659","
,  
(40.74113283437784, -73.9257514307659)"
"63767523","2025-01-15T00:29:23.000",,"NYPD","New York City Police Department","Blocked Driveway","Partial Access","Street/Sidewalk","11435","135-18 COOLIDGE AVENUE","COOLIDGE AVENUE","135 STREET","138 STREET","135 STREET","138 STREET","ADDRESS","JAMAICA","COOLIDGE AVENUE",,"In Progress",,,,"08 QUEENS","4096690007","QUEENS","1033335","199898","ONLINE","Unspecified","QUEENS",,,,,,,,"40.715214408248386","-73.82293677438652","
,  
(40.715214408248386, -73.82293677438652)"
"63766731","2025-01-15T00:28:31.000",,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","Residential Building/House","11203","305 EAST   34 STREET","EAST   34 STREET","CHURCH AVENUE","SNYDER AVENUE","CHURCH AVENUE","SNYDER AVENUE","ADDRESS","BROOKLYN","EAST   34 STREET",,"In Progress",,,"2025-01-15T01:35:13.000","17 BROOKLYN","3048880038","BROOKLYN","999360","175956","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.64962234512845","-73.94554765354334","
,  
(40.64962234512845, -73.94554765354334)"
"63766726","2025-01-15T00:27:35.000",,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","Residential Building/House","10302","317 JEWETT AVENUE","JEWETT AVENUE","KRAMER PLACE","BACHE STREET","KRAMER PLACE","BACHE STREET","ADDRESS","STATEN ISLAND","JEWETT AVENUE",,"In Progress",,,"2025-01-15T01:35:11.000","01 STATEN ISLAND","5002380046","STATEN ISLAND","948060","168541","ONLINE","Unspecified","STATEN ISLAND",,,,,,,,"40.62920872265734","-74.13037910371254","
,  
(40.62920872265734, -74.13037910371254)"
"63761419","2025-01-15T00:27:00.000",,"NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant","Street/Sidewalk","11377","72-15 51 DRIVE","51 DRIVE","72 PLACE","74 STREET","72 PLACE","74 STREET","ADDRESS","WOODSIDE","51 DRIVE",,"In Progress",,,"2025-01-15T00:53:22.000","02 QUEENS","4024650035","QUEENS","1014517","207165","ONLINE","Unspecified","QUEENS",,,,,,,,"40.735244933742884","-73.89078575073196","
,  
(40.735244933742884, -73.89078575073196)"
